_id,name,cuisines,address,priceRange,timeOpen,average_score,classification,latitude,longitude,image
67b8aaed1b0ceed0e5fff11a,Cơm Tấm Thanh Tiên - Đường Số 7,Món Việt,"211 Đường Số 7, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",23.000đ - 35.000đ,05:30 - 11:00,4.557692307692308,Neutral,10.752177998873131,106.6061673658029,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwfa0azp0c7t48@resize_ss576x330
67b8aaed1b0ceed0e5fff061,Bánh Canh Ghẹ Muối Ớt Xanh - Nguyễn Tri Phương,Món Việt,"484A Nguyễn Tri Phương, P. 9, Quận 10, TP. HCM",45.000đ - 75.000đ,11:00 - 23:59,4.525769230769231,Neutral,10.767742550000001,106.66714569999999,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwd39kk3f6qh0b@resize_ss576x330
67b8aaed1b0ceed0e5ffef74,Bay - Lẩu & Nướng Hàn Quốc,Món Hàn,"103 Lê Văn Hiến, P. Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",100.000đ - 250.000đ,09:30 - 23:00,4.5,Neutral,,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9xevgvglwb33@resize_ss576x330
67b8aaed1b0ceed0e5fff066,Phở Ngọc Hà - Phở - Lê Trọng Tấn,Món Miền Nam,"447 Lê Trọng Tấn, Phường Sơn Kỳ, Quận Tân Phú, TP. HCM",20.000đ - 50.000đ,06:00 - 21:00,4.486923076923077,Neutral,10.810593711498834,106.61206059964407,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstrtjp63wd5a4@resize_ss576x330
67b8aaed1b0ceed0e5ffee4d,CUỐN XƯA - Phở Cuốn Hà Thành - Bùi Xương Trạch,empty,"35 Bùi Xương Trạch, P. Khương Đình, Quận Thanh Xuân, Hà Nội",65.000đ - 250.000đ,08:00 - 21:00,4.4,Neutral,20.987202385674994,105.81860765663302,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwb0zuyswau1c4@resize_ss576x330
67b8aaed1b0ceed0e5ffee67,Bánh Rán Phan Đình Giót,empty,"Lô A37, Khu Đồng Dưa Ngô Thì Nhậm, P. Hà Cầu , Quận Hà Đông, Hà Nội",7.000đ - 20.000đ,09:00 - 22:00,4.4,Neutral,,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwb6uezuej1715@resize_ss576x330
67b8aaed1b0ceed0e5ffefc8,Cơm Niêu Cây Bàng,Món Việt,"Ấp Phước Hưng, Xã Mỹ Xuân, Thị Xã Phú Mỹ, Vũng Tàu",30.000đ - 150.000đ,09:00 - 22:00,4.365384615384615,Neutral,10.6540553,107.0427736,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8pfin9ava394@resize_ss576x330
67b8aaed1b0ceed0e5fff048,Pizza Hut - Thống Nhất,Mỹ,"452 Thống Nhất, P. 16, Quận Gò Vấp, TP. HCM",150.000đ - 330.000đ,10:00 - 21:30,4.3,Neutral,10.841696529998329,106.6648068357033,https://down-vn.img.susercontent.com/vn-11134513-7ras8-m3ofyx1xs7u098@resize_ss576x330
67b8aaed1b0ceed0e5ffeea6,Yến - Cháo Trai Ngõ Huyện,Món Việt,"61B Ngõ Huyện, P. Hàng Trống, Quận Hoàn Kiếm, Hà Nội",25.000đ - 40.000đ,11:00 - 21:00,4.3,Neutral,21.02945384774626,105.84849306878473,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgcpmm0eg9ne4@resize_ss576x330
67b8aaed1b0ceed0e5fff092,Bún Riêu Cô Hương Béo - Nguyễn Thị Minh Khai,empty,"19B Nguyễn Thị Minh Khai , P. Bến Nghé, Quận 1, TP. HCM",15.000đ - 80.000đ,08:00 - 21:30,4.285528846153847,Neutral,10.7811013,106.69640755,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9vy362jyzf16@resize_ss576x330
67b8aaed1b0ceed0e5ffefdc,Cơm Tấm Đêm - Quốc Lộ 13,Món Việt,"Quốc Lộ 13, P. Mỹ Phước, Thị Xã Bến Cát, Bình Dương",20.000đ - 25.000đ,16:00 - 00:00,4.230769230769231,Neutral,11.256541644995817,106.63762899283984,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwbdecx8lw4b1e@resize_ss576x330
67b8aaed1b0ceed0e5ffef43,Chả Cá Lã Vọng - Phố Chả Cá,Hà Nội,"14 Chả Cá, P. Hàng Đào, Quận Hoàn Kiếm, Hà Nội",30.000đ - 66.000đ,11:00 - 14:00 | 17:00 - 21:00,4.14,Neutral,21.0356844,105.8491519,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwhcbej8cw632f@resize_ss576x330
67b8aaed1b0ceed0e5ffeeb8,Lotteria - Linh Đàm,Quốc tế,"64 BT4 Bắc Linh Đàm, P. Hoàng Liệt, Quận Hoàng Mai, Hà Nội",30.000đ - 100.000đ,07:30 - 22:30,4.12,Neutral,,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwhxsu3opg4b06@resize_ss576x330
67b8aaec1b0ceed0e5ffedc8,Chè Sầu Liên Đà Nẵng - Tây Sơn,Món Việt,"331 Tây Sơn, P. Ngã Tư Sở, Quận Đống Đa, Hà Nội",30.000đ - 50.000đ,08:00 - 23:00,3.98,Negative,21.007344974779787,105.82331392028246,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9am6hb0gk9b1@resize_ss576x330
67b8aaed1b0ceed0e5fff0e9,Cơm Tấm Chả Cua - Nguyễn Phi Khanh,Món Việt,"113 Nguyễn Phi Khanh, P. Tân Định, Quận 1, TP. HCM",15.000đ - 33.000đ,07:00 - 10:00,3.887115384615385,Negative,10.79174284748428,106.69367690196306,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9zegls7nbv54@resize_ss576x330
67b8aaed1b0ceed0e5ffef7e,Lòng Chần Cháo,Món Việt,"235 Tô Hiệu, P. Dịch Vọng, Quận Cầu Giấy, Hà Nội",25.000đ - 35.000đ,06:00 - 21:00,3.82,Negative,21.04096345003894,105.79325100506955,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwakayhtd049d9@resize_ss576x330
67b8aaed1b0ceed0e5fff0a3,Cơm Tấm Nụ,Món Việt,"19 Đường Số 6, P. Linh Chiểu, Tp. Thủ Đức, TP. HCM",30.000đ - 35.000đ,10:00 - 22:00,3.801153846153846,Negative,10.853446001385235,106.76945776050913,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwbw18zayhg9c3@resize_ss576x330
67b8aaed1b0ceed0e5ffeeb3,"Chị Huệ - Bún, Miến & Bánh Đa Trộn",Món Việt,"TT. F5 Xà Phòng, Ngõ 330 Nguyễn Trãi, P. Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",25.000đ - 35.000đ,07:00 - 13:00,3.8,Negative,,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwab6230ep5la7@resize_ss576x330
