restaurantId,Avg_Rate,Avg_Sentiment_Score,Avg_Combined_Score,Positive_Count,Negative_Count,Neutral_Count,Total_Reviews,Positive_Rate,Negative_Rate,Neutral_Rate,Final_Score,Final_Score_Normalized,Category
67812ec1514dba6089ed92df,9.3,10.0,9.65,2,0,0,2,1.0,0.0,0.0,11.65,9.757692307692308,Positive
67812ec1514dba6089ed9386,9.2,10.0,9.6,1,0,0,1,1.0,0.0,0.0,11.6,9.723076923076922,Positive
67812ec1514dba6089ed93d8,9.2,10.0,9.6,1,0,0,1,1.0,0.0,0.0,11.6,9.723076923076922,Positive
67812ec1514dba6089ed92e5,9.1,10.0,9.55,2,0,0,2,1.0,0.0,0.0,11.55,9.688461538461539,Positive
67812ec1514dba6089ed9449,9.313333333333333,9.85,9.581666666666667,29,0,1,30,0.9666666666666667,0.0,0.03333333333333333,11.548333333333334,9.687307692307693,Positive
67812ec1514dba6089ed92ba,9.0,10.0,9.5,1,0,0,1,1.0,0.0,0.0,11.5,9.653846153846153,Positive
67812ec1514dba6089ed93f1,9.0,10.0,9.5,2,0,0,2,1.0,0.0,0.0,11.5,9.653846153846153,Positive
67812ec1514dba6089ed9446,8.971428571428572,10.0,9.485714285714284,7,0,0,7,1.0,0.0,0.0,11.485714285714284,9.643956043956042,Positive
67812ec1514dba6089ed92bb,9.033333333333333,9.85,9.441666666666666,29,0,1,30,0.9666666666666667,0.0,0.03333333333333333,11.408333333333333,9.590384615384615,Positive
67812ec1514dba6089ed933b,8.8,10.0,9.4,1,0,0,1,1.0,0.0,0.0,11.4,9.584615384615386,Positive
67812ec1514dba6089ed9436,8.8,10.0,9.4,1,0,0,1,1.0,0.0,0.0,11.4,9.584615384615386,Positive
67812ec1514dba6089ed92ae,8.8,10.0,9.4,1,0,0,1,1.0,0.0,0.0,11.4,9.584615384615386,Positive
67812ec1514dba6089ed9333,8.8,10.0,9.4,1,0,0,1,1.0,0.0,0.0,11.4,9.584615384615386,Positive
67812ec1514dba6089ed93ec,8.8,10.0,9.399999999999999,9,0,0,9,1.0,0.0,0.0,11.399999999999999,9.584615384615384,Positive
67812ec1514dba6089ed9488,8.75,10.0,9.375,4,0,0,4,1.0,0.0,0.0,11.375,9.567307692307692,Positive
67812ec1514dba6089ed93c4,8.75,10.0,9.375,4,0,0,4,1.0,0.0,0.0,11.375,9.567307692307692,Positive
67812ec1514dba6089ed940a,8.733333333333333,10.0,9.366666666666667,3,0,0,3,1.0,0.0,0.0,11.366666666666667,9.561538461538463,Positive
67812ec1514dba6089ed939f,8.706666666666667,10.0,9.353333333333333,30,0,0,30,1.0,0.0,0.0,11.353333333333333,9.552307692307693,Positive
67812ec1514dba6089ed9313,8.6,10.0,9.3,1,0,0,1,1.0,0.0,0.0,11.3,9.515384615384615,Positive
67812ec1514dba6089ed9401,8.533333333333333,10.0,9.266666666666666,3,0,0,3,1.0,0.0,0.0,11.266666666666666,9.492307692307692,Positive
67812ec1514dba6089ed9420,8.5,10.0,9.25,2,0,0,2,1.0,0.0,0.0,11.25,9.48076923076923,Positive
67812ec1514dba6089ed9418,9.04,9.55,9.295,27,0,3,30,0.9,0.0,0.1,11.195,9.442692307692308,Positive
67812ec1514dba6089ed93cc,8.366666666666667,10.0,9.183333333333334,6,0,0,6,1.0,0.0,0.0,11.183333333333334,9.434615384615386,Positive
67812ec1514dba6089ed945c,8.333333333333334,10.0,9.166666666666666,3,0,0,3,1.0,0.0,0.0,11.166666666666666,9.423076923076923,Positive
67812ec1514dba6089ed9395,8.333333333333334,10.0,9.166666666666666,3,0,0,3,1.0,0.0,0.0,11.166666666666666,9.423076923076923,Positive
67812ec1514dba6089ed92d3,9.086666666666668,9.55,9.318333333333333,28,1,1,30,0.9333333333333333,0.03333333333333333,0.03333333333333333,11.151666666666667,9.412692307692309,Positive
67812ec1514dba6089ed9346,8.3,10.0,9.15,2,0,0,2,1.0,0.0,0.0,11.15,9.411538461538463,Positive
67812ec1514dba6089ed9447,9.426666666666668,9.4,9.413333333333332,28,2,0,30,0.9333333333333333,0.06666666666666667,0.0,11.146666666666667,9.409230769230769,Positive
67812ec1514dba6089ed92eb,9.426666666666668,9.4,9.413333333333332,14,1,0,15,0.9333333333333333,0.06666666666666667,0.0,11.146666666666667,9.409230769230769,Positive
67812ec1514dba6089ed9470,8.2,10.0,9.1,2,0,0,2,1.0,0.0,0.0,11.1,9.376923076923076,Positive
