_id,name,cuisines,address,priceRange,timeOpen,average_score,classification,latitude,longitude
67812ec1514dba6089ed926a,YakiSaki - Vietnam Izakaya,Món Nhật,"4 Xóm Hạ Hồi, P. Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",50.000đ - 200.000đ,10:00 - 23:59,7.3,Positive,21.021406756100912,105.84718847942435
67812ec1514dba6089ed943f,Chín - Bún Bò & Bún Thịt Nướng,Món Việt,"280 Nguyễn Sơn, Quận Tân Phú, TP. HCM",30.000đ - 45.000đ,07:00 - 11:00 | 16:00 - 20:00,7.285,Positive,10.783423337008445,106.6249012693497
67812ec1514dba6089ed9399,Starbucks Coffee - Emart,"Mỹ, Món Âu","Emart, 366 Phan Văn Trị, P. 5, Quận Gò Vấp, TP. HCM",35.000đ - 100.000đ,08:00 - 22:04,7.281730769230769,Positive,10.8235839,106.6933156
67812ec1514dba6089ed92c3,Phở 25 - Chi Nhánh Bình Tân,Món Việt,"40 - 41A Đường Số 4, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",10.000đ - 50.000đ,06:00 - 20:00,7.28,Positive,10.739335,106.6050922
67812ec1514dba6089ed91cb,Cháo Trai - Trần Xuân Soạn,Món Việt,"26 Trần Xuân Soạn, Quận Hai Bà Trưng, Hà Nội",15.000đ - 28.000đ,11:00 - 13:00 | 15:00 - 20:30,7.28,Positive,21.0171688,105.8550764
67812ec1514dba6089ed91b7,Chicken Bros - Quán Gà Rán Hàn Quốc,Món Hàn,"552 Minh Khai, Quận Hai Bà Trưng, Hà Nội",80.000đ - 270.000đ,09:00 - 23:00,7.28,Positive,20.9962306,105.857312
67812ec1514dba6089ed9217,Maru Korean - Tiệm Đồ Ăn Hàn Quốc & Trà Sữa - Trần Đại Nghĩa,empty,"133 Trần Đại Nghĩa, P. Bách Khoa, Quận Hai Bà Trưng, Hà Nội",20.000đ - 50.000đ,10:00 - 21:35,7.28,Positive,21.0020804,105.8450371
67812ec1514dba6089ed90f4,Top Of Hanoi - Lotte Hotels & Resorts Hanoi,"Món Việt, Quốc tế","Tầng 67, Lotte Center, 54 Liễu Giai, Quận Ba Đình, Hà Nội",100.000đ - 300.000đ,17:00 - 23:00,7.28,Positive,,
67812ec1514dba6089ed93ce,Bánh Mì 362 - Trần Cao Vân,Món Việt,"25 Trần Cao Vân, P. Đa Kao, Quận 1, TP. HCM",20.000đ - 30.000đ,06:00 - 22:00,7.272360742705571,Positive,10.783816392155652,106.69705229451304
67812ec1514dba6089ed9430,Phá Lấu Bò - Bà Hạt,Món Việt,"533 Bà Hạt, Quận 10, TP. HCM",18.000đ - 40.000đ,16:00 - 22:00,7.266923076923076,Positive,10.764628050973219,106.6629525215929
67812ec1514dba6089ed9256,Ốc Bự Hải Phòng - Chùa Láng,Món Việt,"Số 57 Ngõ 82 Chùa Láng, P. Láng Thượng, Quận Đống Đa, Hà Nội",20.000đ - 100.000đ,16:00 - 23:30,7.26,Positive,,
67812ec1514dba6089ed91bb,"Botanica - Salad, Steak & Pasta - Giảng Võ",Pháp,"116 D4 Giảng Võ, P. Giảng Võ, Quận Ba Đình, Hà Nội",40.000đ - 72.000đ,10:00 - 21:30,7.26,Positive,21.0263544,105.8216239
